year,gdp_at_constant_mill_rs,gdp_growth_percent,gdp_nominal_mill_rs,gdp_nominal_growth_percent,gdp_usd,cpi,exchange_rate,m2,oil_price,food_price,exports_goods_mill_rs,imports_goods_mill_rs,trade_balance_goods_mill_rs,remittances_mill_rs,current_account_balance_mill_rs,cad_percent_gdp,investment_mill_rs,investment_percent_gdp,total_gfcf_current_mill_rs,general_gfcf_current_mill_rs,growth_ggfc_percent,private_gfcf_current_mill_rs,total_gfcf_constant_mill_rs,general_gfcf_constant_mill_rs,private_gfcf_constant_mill_rs,gg_final_consumption_current_mill_rs,growth_final_consumption_percent,current_expenditure_mill_rs,development_expenditure_mill_rs,total_expenditure_mill_rs,fiscal_balance_mill_rs,fiscal_deficit_percent
FY1982,6260166.810118494,7.358404250647088,481696.9532915877,17.117328075631843,48.60715976706233,7.185741011,9.91,,44.82799500393369,62.91216600341098,2316.1,5771.1,-3455,2224.9,,,100585.01659362754,20.88138941014642,88970.37404869548,11854.16922910132,29.557763970367844,56645.636305330496,1493113.9305665763,178719.1890338007,937245.7213736115,34541.03860559949,18.55283633,46370,24643,71013,-17174,-3.56531215
FY1983,6692923.515818813,6.912862210010795,541893.5560977866,12.496778813911224,42.63521291091948,7.491681652,12.71,,41.701549762177706,54.20338260375208,2626.6,5617.6,-2991,2885.45,,,115249.14642928695,21.267856967926342,105344.6262341241,12814.357572782843,8.100005366249663,66570.57516071125,1747887.799250835,188447.9753734546,1091921.7232374083,42870.784924066946,24.115506234711525,59686,27435,87121,-25654,-4.734140074
FY1984,7025084.527,4.962868778748031,632550.6177254311,16.729680692361846,46.92512000930498,8.036997785,13.48,,39.54329130776322,67.11021887,2665.4,5990.4,-3325,2737.43,,,132923.99717851562,21.013970021323015,121854.76098368282,14203.663203265292,10.841789161817017,79931.13101254101,1896541.366472104,194382.11331860957,1247505.0376410012,52283.48069586312,21.955967889246764,71945,28057,100002,-25147,-3.975492126
FY1985,7598069.273720566,8.156268356875351,710503.9109789693,12.323645107461601,46.89794791940391,8.492233146,15.15,,36.764352643646795,56.35481807845361,2457.7,6016.9,-3559.2,2445.92,,,151282.28903857048,21.29225282238431,138570.9215294822,15812.318717810638,11.325638263342741,90081.17629063728,2119690.436627234,205019.4723629213,1404836.7286671817,58862.578944677414,12.583512347017201,85270,31549,116819,-36777,-5.176185441
FY1986,8084284.119353011,6.399189427162977,773250.8575763372,8.831330218986677,47.90897506668755,8.862433978,16.14,211111,28.322726794956267,48.202103467879425,2943,6000.4,-3057.4,2595.31,,,163595.60815744434,21.156860875682092,150293.01425258451,17964.492872578343,13.610743580216011,97266.21520180904,2147774.4216257967,221261.81358795613,1417909.3791600568,67658.06565601318,14.942408010363062,97798,36681,134479,-42014,-5.433424301
FY1987,8555163.930002319,5.824632134366303,854742.7723086673,10.538871562038343,49.75219862099344,9.181152415,17.18,240024,21.13658516933485,45.09575753268897,3488.1,5793.2,-2305.1,2278.56,,,187997.05117422325,21.99457629415709,173955.42427464898,20786.917722052756,15.71113011368479,107887.36955058824,2185126.826287298,242013.5492542311,1366120.9589551631,79837.38300933894,18.001279278730475,116242,36160,152402,-46710,-5.464801986
FY1988,9088351.346976325,6.232345999872169,1014262.9749657518,18.662948412680812,57.62857812305407,9.758785963,17.6,269514,22.833235622966185,54.12077175,4361.3,6917.3,-2556,2012.6,,,209525.20733354826,20.657877937486894,194153.32104348802,24181.193943221846,16.328905836617214,124274.27903784825,2133998.8502006587,255640.54158533312,1359074.4330373504,107938.42724452505,35.19785240442938,133645,46728,180373,-57563,-5.675352588
FY1989,9491053.721797371,4.430972785344878,1153110.3227529714,13.689482039104117,59.99533417028987,10.77463723,19.22,290457,20.874561386243894,64.66475980670829,4628.1,7201.3,-2573.2,1683.56,,,260972.30009895618,22.63203224786877,242644.2818300382,25034.214254317845,3.5276186655585073,152366.9485954846,2403853.565609225,245812.3197635573,1501128.6202986133,133128.59402428434,23.33753365026634,153066,48110,201176,-56879,-4.93265899
FY1990,9955671.54,4.895323870635004,1274685.4259805244,10.543232579628704,59.42589398510603,11.42350867,21.45,341251,23.96309704,60.24019329164292,4923.9,7414,-2490.1,1667.36,,,299453.5749190895,23.49235103937438,278760.65106708533,28203.01912632476,12.657896268744961,183128.14335376752,2635449.137151885,266989.9489324767,1718721.2021419462,133500.56809911944,0.2794096020928727,165595,56050,221645,-56060,-4.397947828
FY1991,10493403.992910128,5.401267513925934,1523187.373104827,19.49515873166494,67.93877667728934,12.86957883,22.42,400644,31.440995646208588,57.395004263786205,5894.1,8387.3,-2493.2,1626.92,-2171,-3.195524127,348500.9993223239,22.879719558858223,325147.5566893477,36137.14919300415,28.132201134713462,211276.51429119045,2615720.712311512,285820.4553839275,1717501.4080190377,150000.3488756681,12.359333755267743,195676,65293,260969,-89193,-5.85568142
